ID,Sentence,Description,App names,Owner,State,Updated at
442072426,"When Problem (Repair) changes to Stuck
 notify Mike McAdam and notify Ricky Panesar and notify Michael Ferrari",,"","Mike McAdam","active","Jul 2, 2025, 10:36 AM"
442073118,"When Problem (Repair) changes to Solving
 notify Mike McAdam and notify Ricky Panesar and notify Michael Ferrari",,"","Mike McAdam","active","Jul 2, 2025, 10:35 AM"
3611197,"When Status changes to Received, set Received to current date",,"","Ricky Panesar","active","Jun 27, 2025, 10:36 AM"
429081804,"When an item is moved to Awaiting Parts notify Ricky Panesar",,"","Michael Ferrari","active","Jun 19, 2025, 11:16 AM"
432315289,"When Status changes to Diagnostic Complete
 clear **Deadline**",,"","Michael Ferrari","active","Jun 5, 2025, 9:22 AM"
251687708,"When Status changes to Returned
 clear Passcode",,"","Maksym Shtanko","deactivated","May 30, 2025, 1:29 PM"
429085203,"When Parts Status changes to No Stock
 and if Part to Order is empty set Status to Error and notify Technician",,"","Michael Ferrari","active","May 28, 2025, 10:46 AM"
384600181,"When Repair Type changes to To List
 notify Ricky Panesar and notify Michael Ferrari",,"","Mike McAdam","active","May 14, 2025, 3:50 PM"
418734895,"When Repair Type changes to Purchased
 set Date Purchased (BM) to today",,"","Mike McAdam","active","Apr 30, 2025, 9:58 AM"
5576384,"When Status changes to Received, start Total Time. When it changes to Ready To Collect stop.",,"","Ricky Panesar","active","Apr 17, 2025, 6:32 PM"
414522418,"When Repair Type changes to Sold
 set Date Sold (BM) to today",,"","Mike McAdam","active","Apr 17, 2025, 5:04 PM"
414521830,"When Repair Type changes to Listed
 set Date Listed (BM) to today",,"","Mike McAdam","active","Apr 17, 2025, 5:03 PM"
362779687,"When Repair Type changes to Sold
 and only if Status is Ready To Collect move item to Outbound Shipping and set Status to Book Return Courier",,"","Michael Ferrari","active","Jan 29, 2025, 3:07 PM"
362327734,"When Status changes to Ready To Collect
 and only if Repair Type is Sold move item to Outbound Shipping and set Status to Book Return Courier",,"","Michael Ferrari","active","Jan 27, 2025, 2:23 PM"
380507610,"When Status changes to QC Failure
 create an item in Warranties & Breakages and connect Warranties & Breakages with Main Item",,"","Michael Ferrari","active","Jan 20, 2025, 4:11 PM"
380499701,"When Status changes to QC Failure
 and only if Technician is assigned to Mykhailo Kepeshchuk move item to Mykhailo",,"","Michael Ferrari","active","Jan 20, 2025, 3:51 PM"
380499268,"When Status changes to QC Failure
 and only if Technician is assigned to Andres Egas move item to Andres",,"","Michael Ferrari","active","Jan 20, 2025, 3:50 PM"
380498808,"When Status changes to QC Failure
 and only if Technician is assigned to Safan Patel move item to Safan (Short Deadline)",,"","Michael Ferrari","active","Jan 20, 2025, 3:50 PM"
318092989,"When Repair Type changes to Booking Cancelled
 move item to Cancelled/Missed Bookings",,"","Maksym Shtanko","active","Jan 20, 2025, 3:46 PM"
