listing_no,status,history_count,export_uuid,export_backmarket_id,export_sku,title,catalog_colour,quantity,status_text,export_grade,reasons
1450814,vetted_exact,2,c6ea3e23-0e46-442e-a391-c08555d28f37,290062,iP11.Purple.64GB.Good,iPhone 11 64GB - Violett - Ohne Vertrag,,0,Price or comment missing,GOOD,
1450751,vetted_exact,2,0106bb6f-3975-4794-b9a0-7d920669484c,290057,iP11.Black.64GB.VeryGood,iPhone 11 64GB - Schwarz - Ohne Vertrag,,0,Price or comment missing,VERY_GOOD,
1450750,vetted_exact,2,0106bb6f-3975-4794-b9a0-7d920669484c,290057,iP11.Black.64GB.Good,iPhone 11 64GB - Schwarz - Ohne Vertrag,,-1,Price or comment missing,GOOD,
1450708,vetted_exact,3,1053e68e-a03e-44f7-9e37-fc9e28e85f41,166063,iPXS.MAX.SpaceGrey.64GB.Good,iPhone XS Max 64GB - Space Grau - Ohne Vertrag,,0,Price or comment missing,GOOD,
1450707,vetted_exact,2,1053e68e-a03e-44f7-9e37-fc9e28e85f41,166063,iPXS.MAX.SpaceGrey.64GB.Fair,iPhone XS Max 64GB - Space Grau - Ohne Vertrag,,0,Price or comment missing,FAIR,
1450679,vetted_product_lineage,0,0c541cf4-0dbe-4860-941b-0c50b5350455,170952,iPXS.MAX.Silver.512GB.Good,iPhone XS Max 512GB - Silber - Ohne Vertrag,,0,Price or comment missing,GOOD,no direct listing history; vetted by product lineage
1450677,vetted_product_lineage,0,0c541cf4-0dbe-4860-941b-0c50b5350455,170952,iPXS.MAX.Silver.512GB.Fair,iPhone XS Max 512GB - Silber - Ohne Vertrag,,0,Price or comment missing,FAIR,no direct listing history; vetted by product lineage
1450674,vetted_exact,1,c947c66c-faf1-466b-946a-9d897e26e339,178228,iPXS.MAX.Silver.64GB.VeryGood,iPhone XS Max 64GB - Silber - Ohne Vertrag,,0,Price or comment missing,VERY_GOOD,
1450673,vetted_product_lineage,0,c947c66c-faf1-466b-946a-9d897e26e339,178228,iPXS.MAX.Silver.64GB.Stallone,iPhone XS Max 64GB - Silber - Ohne Vertrag,,0,Price or comment missing,STALLONE,no direct listing history; vetted by product lineage
1450672,vetted_product_lineage,0,c947c66c-faf1-466b-946a-9d897e26e339,178228,iPXS.MAX.Silver.64GB.Good,iPhone XS Max 64GB - Silber - Ohne Vertrag,,0,Price or comment missing,GOOD,no direct listing history; vetted by product lineage
1450668,vetted_product_lineage,0,c947c66c-faf1-466b-946a-9d897e26e339,178228,iPXS.MAX.Silver.64GB.Fair,iPhone XS Max 64GB - Silber - Ohne Vertrag,,0,Price or comment missing,FAIR,no direct listing history; vetted by product lineage
1424979,vetted_exact,1,49cee1e1-222d-4b48-853a-cfdc351a716e,175710,iPXS.MAX.Gold.256GB.Excellent,iPhone XS Max 256GB - Gold - Ohne Vertrag,,0,Price or comment missing,EXCELLENT,
1424933,vetted_exact,4,e0c8f23a-e8f6-434b-b661-2aa6cf0c7bf6,181534,iPXS.MAX.Gold.64GB.VeryGood,iPhone XS Max 64GB - Gold - Ohne Vertrag,,0,Price or comment missing,VERY_GOOD,
1424929,vetted_exact,2,e0c8f23a-e8f6-434b-b661-2aa6cf0c7bf6,181534,iPXS.MAX.Gold.64GB.Stallone,iPhone XS Max 64GB - Gold - Ohne Vertrag,,0,Price or comment missing,STALLONE,
1424666,vetted_product_lineage,0,ca10cd3e-2fcf-4263-8a07-852f6357972e,169106,iPXS.Silver.64GB.Stallone,iPhone XS 64GB - Silber - Ohne Vertrag,,0,Price or comment missing,STALLONE,no direct listing history; vetted by product lineage
1424640,vetted_exact,2,41d1466b-2e2e-4283-b1af-07421639deff,161653,iPXS.SpaceGrey.256GB.Stallone,iPhone XS 256GB - Space Grau - Ohne Vertrag,,0,Price or comment missing,STALLONE,
1424307,vetted_exact,7,4052792b-2bc8-45eb-b3e8-7d57141702f9,178592,iPXS.SpaceGrey.64GB.Fair,iPhone XS 64GB - Space Grau - Ohne Vertrag,,0,Price or comment missing,FAIR,
1424138,vetted_exact,1,b0f759b9-dd02-4763-8c49-b035bb194e04,36834,iPX.SpaceGrey.256GB.VeryGood,iPhone X 256GB - Space Grau - Ohne Vertrag,,0,Price or comment missing,VERY_GOOD,
1424132,vetted_exact,1,b0f759b9-dd02-4763-8c49-b035bb194e04,36834,iPX.SpaceGrey.256GB.Good,iPhone X 256GB - Space Grau - Ohne Vertrag,,0,Price or comment missing,GOOD,
1424123,vetted_exact,2,8822c6ae-4e5d-4b02-a681-4b28843fce2c,36835,iPX.Silver.64GB.VeryGood,iPhone X 64GB - Silber - Ohne Vertrag,,0,Price or comment missing,VERY_GOOD,
1424118,vetted_exact,1,b8743e87-5b9b-4bb4-969a-f7f792b04618,36836,iPX.Silver.256GB.VeryGood,iPhone X 256GB - Silber - Ohne Vertrag,,0,Price or comment missing,VERY_GOOD,
1424116,vetted_product_lineage,0,b8743e87-5b9b-4bb4-969a-f7f792b04618,36836,iPX.Silver.256GB.Stallone,iPhone X 256GB - Silber - Ohne Vertrag,,0,Price or comment missing,STALLONE,no direct listing history; vetted by product lineage
1423836,vetted_exact,3,1bf201d4-6b3e-4e26-bdc3-a461268e96c9,36833,iPX.SpaceGrey.64GB.VeryGood,iPhone X 64GB - Space Grau - Ohne Vertrag,,0,Price or comment missing,VERY_GOOD,
1422238,vetted_normalized,1,b0f759b9-dd02-4763-8c49-b035bb194e04,36834,iPX.SpaceGrey.256GB.Fair,iPhone X 256GB - Space Grau - Ohne Vertrag,,0,Price or comment missing,FAIR,sku differs only after normalization
1401177,vetted_exact,4,8822c6ae-4e5d-4b02-a681-4b28843fce2c,36835,iPX.Silver.64GB.Good,iPhone X 64GB - Silber - Ohne Vertrag,,0,Validation in progress,GOOD,
1398224,vetted_normalized,5,8199595f-76ac-47aa-bea7-1017e1fe0392,161659,iPXR.Black.64GB.Good,iPhone XR 64GB - Schwarz - Ohne Vertrag,,0,Validation in progress,GOOD,sku differs only after normalization
1397823,vetted_normalized,5,b8743e87-5b9b-4bb4-969a-f7f792b04618,36836,iPX.Silver.256GB.Good,iPhone X 256GB - Silber - Ohne Vertrag,,0,Validation in progress,GOOD,sku differs only after normalization
1397419,vetted_exact,7,8199595f-76ac-47aa-bea7-1017e1fe0392,161659,iPXR.Black.64GB.Stallone,iPhone XR 64GB - Schwarz - Ohne Vertrag,,0,Validation in progress,STALLONE,
1386096,vetted_exact,1,a5e0946a-3b23-45ec-8006-818c331a6439,189925,iPXR.White.64GB.Fair,iPhone XR 64GB - Weiß - Ohne Vertrag,,0,Validation in progress,FAIR,
1386077,vetted_exact,2,8822c6ae-4e5d-4b02-a681-4b28843fce2c,36835,iPX.Silver.64GB.Fair,iPhone X 64GB - Silber - Ohne Vertrag,,0,Validation in progress,FAIR,
1386018,vetted_exact,13,1bf201d4-6b3e-4e26-bdc3-a461268e96c9,36833,iPX.SpaceGrey.64GB.Stallone,iPhone X 64GB - Space Grau - Ohne Vertrag,,0,Validation in progress,STALLONE,
1384433,vetted_exact,1,2963532c-c4a6-4482-bba5-11594510123d,199289,iPXR.Black.128GB.Good,iPhone XR 128GB - Schwarz - Ohne Vertrag,,0,Validation in progress,GOOD,
1384321,vetted_exact,3,7737c5d7-56dc-4a95-a53a-b97467045c96,175669,iPXS.Gold.64GB.Fair,iPhone XS 64GB - Gold - Ohne Vertrag,,0,Validation in progress,FAIR,
1384315,vetted_exact,1,eddc6437-fa57-4331-8ceb-8661cf52ccbb,161655,iPXS.Gold.256GB.Stallone.,iPhone XS 256GB - Gold - Ohne Vertrag,,0,Validation in progress,STALLONE,
1384310,vetted_exact,15,1bf201d4-6b3e-4e26-bdc3-a461268e96c9,36833,iPX.SpaceGrey.64GB.Fair,iPhone X 64GB - Space Grau - Ohne Vertrag,,0,Validation in progress,FAIR,
1384297,vetted_normalized,2,b8743e87-5b9b-4bb4-969a-f7f792b04618,36836,iPX.Silver.256GB.Fair,iPhone X 256GB - Silber - Ohne Vertrag,,0,Validation in progress,FAIR,sku differs only after normalization
1384282,vetted_exact,8,8822c6ae-4e5d-4b02-a681-4b28843fce2c,36835,iPX.Silver.64GB.Stallone,iPhone X 64GB - Silber - Ohne Vertrag,,0,Validation in progress,STALLONE,
1379773,vetted_exact,11,1bf201d4-6b3e-4e26-bdc3-a461268e96c9,36833,iPX.SpaceGrey.64GB.Good,iPhone X 64GB - Space Grau - Ohne Vertrag,,0,Validation in progress,GOOD,
1379742,vetted_exact,2,8199595f-76ac-47aa-bea7-1017e1fe0392,161659,iPXR.Black.64GB.Fair,iPhone XR 64GB - Schwarz - Ohne Vertrag,,0,Validation in progress,FAIR,
1379712,vetted_exact,2,0fdd2e59-8366-44b8-aa48-02738933b397,38770,iP8Plus.Silver.64GB.Vgood,iPhone 8 Plus 64GB - Silber - Ohne Vertrag,,0,Disabled,VERY_GOOD,
1379672,vetted_exact,1,2defb1fb-7c30-435f-a1ff-ab879a6a0ab9,127776,iP8.Red.64GB.Vgood,iPhone 8 64GB - Rot - Ohne Vertrag,,0,Disabled,VERY_GOOD,
1372956,vetted_normalized,4,b0f759b9-dd02-4763-8c49-b035bb194e04,36834,iPX.SpaceGrey.256GB.Stallone,iPhone X 256GB - Space Grau - Ohne Vertrag,,0,Validation in progress,STALLONE,sku differs only after normalization
1372955,vetted_normalized,10,4052792b-2bc8-45eb-b3e8-7d57141702f9,178592,iPXS.SpaceGrey.64GB.Stallone,iPhone XS 64GB - Space Grau - Ohne Vertrag,,0,Validation in progress,STALLONE,sku differs only after normalization
1372954,vetted_normalized,7,4052792b-2bc8-45eb-b3e8-7d57141702f9,178592,iPXS.SpaceGrey.64GB.Good,iPhone XS 64GB - Space Grau - Ohne Vertrag,,0,Validation in progress,GOOD,sku differs only after normalization
1372953,vetted_normalized,6,41d1466b-2e2e-4283-b1af-07421639deff,161653,iPXS.SpaceGrey.256GB.Good,iPhone XS 256GB - Space Grau - Ohne Vertrag,,0,Validation in progress,GOOD,sku differs only after normalization
1372949,vetted_normalized,9,7737c5d7-56dc-4a95-a53a-b97467045c96,175669,iPXS.Gold.64GB.Good,iPhone XS 64GB - Gold - Ohne Vertrag,,0,Validation in progress,GOOD,sku differs only after normalization
1372947,vetted_normalized,4,eddc6437-fa57-4331-8ceb-8661cf52ccbb,161655,iPXS.Gold.256GB.VeryGood,iPhone XS 256GB - Gold - Ohne Vertrag,,0,Validation in progress,VERY_GOOD,sku differs only after normalization
6709323,vetted_product_lineage,0,0813a2a6-fd00-4d5f-8ad0-d51aea5715f4,596539,MBP.A2251.I7.32GB.2TB.Grey.VERY_GOOD,MacBook Pro Retina 13-inch (2020) - Core i7 - 32GB SSD 2000 QWERTY - English,Space Gray,0,Offline,VERY_GOOD,no direct listing history; vetted by product lineage
6709315,vetted_product_lineage,0,87214b18-2f32-49a3-b612-f390c294eb73,545353,MBP.A2338.M1.8GB.1TB.Silver.VERY_GOOD,MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 8GB RAM - SSD 1000GB - QWERTY - English,Silver,0,Offline,VERY_GOOD,no direct listing history; vetted by product lineage
6709310,vetted_product_lineage,0,2d7af07a-48ec-4b7b-b742-c0fd999f15bd,545358,MBP.A2338.M1.8GB.1TB.Grey.VERY_GOOD,MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 8GB RAM - SSD 1000GB - QWERTY - English,Space Gray,0,Offline,VERY_GOOD,no direct listing history; vetted by product lineage
6709304,vetted_product_lineage,0,313b776d-eab9-438a-bffd-c139a86f67b4,545357,MBP.A2338.M1.16GB.1TB.Grey.VERY_GOOD,MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 16GB RAM - SSD 1000GB - QWERTY - English,Space Gray,0,Offline,VERY_GOOD,no direct listing history; vetted by product lineage
6709276,vetted_product_lineage,0,87214b18-2f32-49a3-b612-f390c294eb73,545353,MBP.A2338.M1.8GB.1TB.Silver.GOOD,MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 8GB RAM - SSD 1000GB - QWERTY - English,Silver,0,Offline,GOOD,no direct listing history; vetted by product lineage
6709250,vetted_product_lineage,0,0813a2a6-fd00-4d5f-8ad0-d51aea5715f4,596539,MBP.A2251.I7.32GB.2TB.Grey.FAIR,MacBook Pro Retina 13-inch (2020) - Core i7 - 32GB SSD 2000 QWERTY - English,Space Gray,0,Offline,FAIR,no direct listing history; vetted by product lineage
6709247,vetted_product_lineage,0,87214b18-2f32-49a3-b612-f390c294eb73,545353,MBP.A2338.M1.8GB.1TB.Silver.FAIR,MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 8GB RAM - SSD 1000GB - QWERTY - English,Silver,0,Offline,FAIR,no direct listing history; vetted by product lineage
6709047,vetted_exact,1,7408af3f-40ad-4e74-aff8-d2acca799683,2872244,MBP.A2338.M1.16GB.256GB.Grey.Fair,MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 16GB RAM - SSD 256GB - QWERTY - English,Space Gray,0,Offline,FAIR,
6709046,vetted_exact,1,bb65708b-a0c7-4570-81ee-39b2737f90ee,3541864,MBP.A2991.M3PRO.18GB.512GB.Space Black.Fair,MacBook Pro 16-inch (2023) - Apple M3 Pro 12-core and 18-core GPU - 18GB RAM - SSD 512GB - QWERTY - English,Space Black,0,Offline,FAIR,
6577956,vetted_exact,1,b8f6f0c1-d4f4-4693-8150-b112d5371b64,545434,MBA.A2337.M1.7C.8GB.256GB.Silver.Fair,MacBook Air 13-inch (2020) - Apple M1 8-core and 7-core GPU - 8GB RAM - SSD 256GB - QWERTY - English,Silver,0,Offline,FAIR,
6577955,vetted_exact,1,1f853308-2051-4982-a9d1-b8025829fb74,762080,MBA.A2681.M2.8GB.1TB.Midnight.Fair,MacBook Air 13-inch (2022) - Apple M2 8-core and 10-core GPU - 8GB RAM - SSD 1000GB - QWERTY - English,,0,Disabled,FAIR,
6461991,vetted_exact,1,971d112f-19a2-434b-982a-e393399d9fd9,1640330,MBP.A2779.16GB.512GB.Silver.Good,MacBook Pro 14-inch (2023) - Apple M2 Pro 10-core and 16-core GPU - 16GB RAM - SSD 512GB - QWERTY - English,Silver,0,Disabled,GOOD,
6430816,vetted_product_lineage,0,66817557-aa53-47aa-b076-0b2f83e866c3,3540530,MBP.A2918.8GB.512GB.Grey.Fair,MacBook Pro 14-inch (2023) - Apple M3 8-core and 10-core GPU - 8GB RAM - SSD 512GB - QWERTY - English,Space Gray,0,Offline,FAIR,no direct listing history; vetted by product lineage
6391708,vetted_exact,1,5848c8eb-d4d5-4420-a62d-68f7dda35878,762073,MBA.A2681.16GB.512GB.8C.10C.Grey.Good,MacBook Air 13-inch (2022) - Apple M2 8-core and 10-core GPU - 16GB RAM - SSD 512GB - QWERTY - English,Space Gray,0,Offline,GOOD,
6382950,vetted_product_lineage,0,66817557-aa53-47aa-b076-0b2f83e866c3,3540530,MBP.A2918.8GB.512GB.Grey.Good,MacBook Pro 14-inch (2023) - Apple M3 8-core and 10-core GPU - 8GB RAM - SSD 512GB - QWERTY - English,Space Gray,0,Offline,GOOD,no direct listing history; vetted by product lineage
